state,x,y
Andhra Pradesh,-64.0, -198.0
Arunachal Pradesh,291.0, 122.0
Assam,247.0,78.0
Bihar,77.0,59.0
Chhattisgarh,-14.0,-46.0
Goa,-196.0,-201.0
Gujarat,-263.0,-2.0
Haryana,-143.0,153.0
Himachal Pradesh,-126.0,231.0
Jharkhand,62.0,1.0
Karnataka,-161.0,-216.0
Kerala,-144.0,-316.0
Madhya Pradesh,-100.0,-10.0
Maharashtra,-175.0,-89.0
Manipur,271.0,35.0
Meghalaya,207.0,46.0
Mizoram,246.0,-1.0
Nagaland,286.0,63.0
Odisha,40.0,-80.0
Punjab,-168.0,201.0
Rajasthan,-205.0,91.0
Sikkim,144.0,113.0
Tamil Nadu,-87.0,-314.0
Telangana,-84.0,-135.0
Tripura,217.0,9.0
Uttarakhand,-75.0,185.0
Uttar Pradesh,-47.0,97.0
West Bengal,127.0,-12.0